COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsAmericasUSD;24;{06A509FA-F285-47FE-A207-C7618067B41C};R000659702;visa;2019-01-16;UTC;Settled;{FE057B0B-1F28-4683-BFA8-A983634A8196};USD;371.00;19.00;390.00
JetBrains;JetBrainsAmericasUSD;24;{AC3336B3-C876-4052-B14E-FF69329212FB};A000425555;visa;2019-01-10;UTC;Settled;{AA904C99-B8FC-4D67-8A11-300967458922};USD;106.00;6.00;112.00
JetBrains;JetBrainsAmericasUSD;24;{0646F1D2-6EC3-4EC5-A2CF-408B5E2A6ECA};C000291920;mc;2019-01-05;UTC;Settled;{93D6F902-6413-40FF-99EF-0D48DB5381D0};USD;48.00;2.00;50.00
JetBrains;JetBrainsAmericasUSD;24;{A31AF9CB-7E37-465B-8833-C602567C177D};R000462955;visa;2019-01-06;UTC;Settled;{FA7DAFB1-0F4C-45DB-B365-F06390E230A1};USD;722.00;38.00;760.00
JetBrains;JetBrainsAmericasUSD;24;{2E2D48CA-00A0-4A71-949A-299CED81888F};A000518336;mc;2019-01-04;UTC;Settled;{4F3426D1-1A68-485B-BE6F-BD939111DAFE};USD;200.00;10.00;210.00
JetBrains;JetBrainsAmericasUSD;24;{FC422D66-7DAE-4793-8273-66A857400445};C000242549;visa;2019-01-15;UTC;Settled;{E3E16963-89AB-4BDE-B5ED-A01515D1800B};USD;314.00;16.00;330.00
JetBrains;JetBrainsAmericasUSD;24;{77737DA6-A529-48B1-8192-C4E4F063F7EF};E000577350;mc;2019-01-11;UTC;Settled;{D91ECDA2-38C3-4CA3-A076-496BE154EC2E};USD;135.00;7.00;142.00
JetBrains;JetBrainsAmericasUSD;24;{0DE2E5FF-0B88-4329-B557-E37B441E58CC};E000529426;visa;2019-01-10;UTC;Settled;{DFD50542-6E7D-4654-AC7B-62C3378B31C9};USD;114.00;6.00;120.00
JetBrains;JetBrainsAmericasUSD;24;{0825B6F7-BCF9-4FFF-8127-DA07F56ADF0E};A000405010;visa;2019-01-10;UTC;Settled;{411DE073-B19D-410C-AEA9-02F9D73FCFC5};USD;428.00;22.00;450.00
JetBrains;JetBrainsAmericasUSD;24;{E620FE53-669F-4336-A733-0F4CDB34B66B};A000359780;visa;2019-01-12;UTC;Settled;{E7D73504-B318-4382-AD6B-1683F51A1A58};USD;27.00;1.00;28.00
JetBrains;JetBrainsAmericasUSD;24;{1AEA99BB-303A-4B80-AFD1-98A2920B6DEA};A000583451;visa;2019-01-07;UTC;Settled;{4478EF9F-7108-479D-A273-8BA0225158AB};USD;204.00;11.00;215.00
JetBrains;JetBrainsAmericasUSD;24;{19DBCF60-81D7-415F-9C3A-9DBDC8549988};E000590041;mc;2019-01-04;UTC;Settled;{854665E6-3E1F-4727-B4D1-DABD64265416};USD;428.00;22.00;450.00
JetBrains;JetBrainsAmericasUSD;24;{A83FB292-68B1-4939-AC44-C2DAACE1EBE4};E000404396;visa;2019-01-03;UTC;Settled;{1814ACF3-E38A-4E76-B47B-9F3B3CE03D59};USD;475.00;25.00;500.00
JetBrains;JetBrainsAmericasUSD;24;{B98B3F39-CEFC-4BE3-8B5A-33E22435B130};E000597373;mc;2019-01-09;UTC;Settled;{31516BDA-8B13-44D9-8860-5C77F9A05345};USD;675.00;35.00;710.00
JetBrains;JetBrainsAmericasUSD;24;{3B91CED7-B0C8-4100-9251-27F7BA0C4C6B};A000127032;visa;2019-01-13;UTC;Settled;{A73710CA-C579-4D92-899F-5DA592C99DF4};USD;353.00;19.00;372.00
JetBrains;JetBrainsAmericasUSD;24;{1B63236D-781A-4292-8873-0B67CF7411BD};R000567578;mc;2019-01-14;UTC;Settled;{F652812E-C1AC-4F26-877F-49C31B95219C};USD;637.00;33.00;670.00
JetBrains;JetBrainsAmericasUSD;24;{D3D38DE1-7491-4CB5-BA06-16FCA0DFE401};C000085691;visa;2019-01-11;UTC;Settled;{E36BDB6C-5EE5-46CB-8B1A-0C47AECF825D};USD;998.00;52.00;1050.00
JetBrains;JetBrainsAmericasUSD;24;{856C668B-0C72-4D9E-8910-F6E1787B49BF};R000239685;visa;2019-01-05;UTC;Settled;{76425538-392D-4B3C-A054-A653996DBC1B};USD;76.00;4.00;80.00
JetBrains;JetBrainsAmericasUSD;24;{8B88B6F0-1A95-4C63-B52B-72C494BE31CF};Z000496248;mc;2019-01-15;UTC;Settled;{7660BD64-27EC-4CEB-996C-945009ECC295};USD;120.00;6.00;126.00
JetBrains;JetBrainsAmericasUSD;24;{6CF1114B-A118-4D89-A546-4A2ED20857A9};C000284029;visa;2019-01-10;UTC;Settled;{23125092-0E85-4C7F-A308-75732F75D3CE};USD;304.00;16.00;320.00
JetBrains;JetBrainsAmericasUSD;24;{13C25402-FD90-4E9F-A1D2-0598D769D475};Z000458375;mc;2019-01-05;UTC;Settled;{20F3ECB4-3FAC-48E0-99B0-4BC7440A06E6};USD;424.00;22.00;446.00
JetBrains;JetBrainsAmericasUSD;24;{8D5E0543-3699-47E9-8EE9-143BC86DF9F2};Z000100545;visa;2019-01-05;UTC;Settled;{D5785B42-8184-4EDC-A3FB-A00827021A34};USD;441.00;23.00;464.00
JetBrains;JetBrainsAmericasUSD;24;{545D4B2A-DA8D-4139-AF7A-0F01D68CFE57};Z000187612;visa;2019-01-14;UTC;Settled;{C174D3C4-0FF2-479A-8AF0-51C7513E3C73};USD;318.00;17.00;335.00
JetBrains;JetBrainsAmericasUSD;24;{E66639E2-20F3-45C2-AABF-E5D52DC26793};Z000469130;visa;2019-01-15;UTC;Settled;{A225BEA5-D17E-4192-BD56-E1AC4031B4D8};USD;380.00;20.00;400.00
JetBrains;JetBrainsAmericasUSD;24;{E67D98AC-1E58-4052-B624-54D8EAED9339};R000181074;mc;2019-01-12;UTC;Settled;{EF983055-7ED3-4DC5-90ED-70063875D5DE};USD;53.00;3.00;56.00
JetBrains;JetBrainsAmericasUSD;24;{555D2A2A-79E2-4786-B96F-9B93C24A09F7};A000112822;visa;2019-01-05;UTC;Settled;{B4694F51-655B-4268-98EF-085215DA4EB5};USD;319.00;17.00;336.00
JetBrains;JetBrainsAmericasUSD;24;{EF0EC440-D603-4734-903A-B625A4188408};E000671994;visa;2019-01-15;UTC;Settled;{8340E844-1B34-4102-A4F8-87E77F797624};USD;822.00;43.00;865.00
JetBrains;JetBrainsAmericasUSD;24;{09015430-293B-4A99-ABF7-47DBC5C80B8D};A000158061;visa;2019-01-13;UTC;Settled;{772B5BCA-6560-4D8C-964C-71393020A934};USD;447.00;23.00;470.00
JetBrains;JetBrainsAmericasUSD;24;{EF12CE72-6BB9-4C8E-95C5-E0CFE61FABE2};E000663457;visa;2019-01-10;UTC;Settled;{2A59EDF6-A9D7-4AA1-AF75-D8D6E80EF633};USD;352.00;18.00;370.00
JetBrains;JetBrainsAmericasUSD;24;{2A9E2B01-400E-4591-AD7C-A4A264D7FDCA};E000046095;visa;2019-01-12;UTC;Settled;{6D941A91-B9CB-4AC7-B105-83F88EE6142C};USD;257.00;13.00;270.00
JetBrains;JetBrainsAmericasUSD;24;{0188909D-EF46-4DC6-91CC-349D920AAB28};C000293701;visa;2019-01-05;UTC;Settled;{DD33BDAD-A2B1-4C55-93CA-719ABDB91A61};USD;309.00;16.00;325.00
JetBrains;JetBrainsAmericasUSD;24;{999822F0-7157-47AB-82D8-ECF9A9AF3A6A};Z000631979;visa;2019-01-06;UTC;Settled;{24DBB306-2D2E-474E-97C2-88F6ADF717BB};USD;565.00;30.00;595.00
JetBrains;JetBrainsAmericasUSD;24;{0F166026-5929-4F21-AA84-1C941B90986A};C000233379;visa;2019-01-13;UTC;Settled;{6F161233-06AC-470F-895D-4E2CAF5D0CAF};USD;205.00;11.00;216.00
JetBrains;JetBrainsAmericasUSD;24;{B1ECDF02-2527-48AE-A8A7-5A8B1CFE2265};C000163972;visa;2019-01-04;UTC;Settled;{6D77095E-6C25-491D-9D58-5F78F8E4066B};USD;175.00;9.00;184.00
JetBrains;JetBrainsAmericasUSD;24;{09E32B81-E815-467F-B229-157F8413AB78};Z000082919;visa;2019-01-14;UTC;Settled;{1BCABE29-0410-4B33-B0B4-C63BC0722EA2};USD;13.00;1.00;14.00
