COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsAmericasUSD;27;{65AC2EBA-4A5F-4E62-8AFF-95BEB735B179};R000272019;mc;2019-04-14;UTC;Settled;{C52A3D46-1774-4CF1-A407-21DBE689E795};USD;556.00;29.00;585.00
JetBrains;JetBrainsAmericasUSD;27;{06FDAB80-6D2B-49FF-8975-86FEB3DD6C71};R000206861;visa;2019-04-14;UTC;Settled;{4B662B3B-A8DD-42B9-A089-38C5D46F2DDF};USD;285.00;15.00;300.00
JetBrains;JetBrainsAmericasUSD;27;{8046A296-6EF7-44CC-B720-4FD39D9F4943};E000285780;mc;2019-04-01;UTC;Settled;{19D36025-980F-44F6-8272-B06C91A0F7D9};USD;146.00;8.00;154.00
JetBrains;JetBrainsAmericasUSD;27;{535D4957-CA6C-4197-BF63-140D9F39BCA3};C000185221;visa;2019-03-24;UTC;Settled;{8510380E-0E66-4B99-9A8F-0AAD6DABB7CA};USD;190.00;10.00;200.00
JetBrains;JetBrainsAmericasUSD;27;{7381BC69-CC05-42B9-B16C-96C9CC8B1CB2};R000308276;visa;2019-03-24;UTC;Settled;{4379F43F-33E1-4B59-A535-F6228BC9F576};USD;70.00;4.00;74.00
JetBrains;JetBrainsAmericasUSD;27;{CF9E5AE3-6EB3-4D9A-A18F-0F26C8152DBA};E000154143;visa;2019-03-29;UTC;Settled;{F22D3EAD-59D0-402C-BFB6-7527A3FDA2BD};USD;120.00;6.00;126.00
JetBrains;JetBrainsAmericasUSD;27;{22300644-206F-40A8-B600-3254772F6CE2};A000675021;visa;2019-04-02;UTC;Settled;{6973F454-C148-487A-9AB4-642B291C5BEB};USD;152.00;8.00;160.00
JetBrains;JetBrainsAmericasUSD;27;{352C6B3F-70B2-4A02-8EE9-0CD260519537};R000470249;visa;2019-03-20;UTC;Settled;{BD1B9A04-BC22-4E5A-BEF5-F5A4BEB4E83D};USD;247.00;13.00;260.00
JetBrains;JetBrainsAmericasUSD;27;{5D2FB15E-B5AB-4950-B2E4-145EBF91C599};C000589115;mc;2019-03-19;UTC;Settled;{119ED848-4BB2-451E-BD09-9AFAAC23699A};USD;222.00;12.00;234.00
JetBrains;JetBrainsAmericasUSD;27;{42031538-7E08-441E-8A34-94C3E9D803D0};E000152140;mc;2019-04-11;UTC;Settled;{61D67178-B46B-4598-B405-640307F73B05};USD;494.00;26.00;520.00
JetBrains;JetBrainsAmericasUSD;27;{972B7E0C-E18E-42A1-B0DB-96FB990A9781};Z000002512;visa;2019-03-30;UTC;Settled;{00760B0D-65B7-4CD3-AC25-83CCF36B3424};USD;171.00;9.00;180.00
JetBrains;JetBrainsAmericasUSD;27;{F944304B-B8F4-4A4F-9FEA-722BBFA324DF};E000450564;mc;2019-03-18;UTC;Settled;{1F34EE2A-F822-48B5-AB92-665B21A17DA7};USD;903.00;47.00;950.00
JetBrains;JetBrainsAmericasUSD;27;{FCF63B26-9CC6-473B-9F57-E94DA678871D};E000243337;visa;2019-04-15;UTC;Settled;{CF582287-10EE-47F2-8E9E-38D6D4D4A87F};USD;228.00;12.00;240.00
JetBrains;JetBrainsAmericasUSD;27;{749F639F-D62B-40C5-A3DC-07B8E12D1042};Z000338366;mc;2019-03-30;UTC;Settled;{CA526001-89D3-431B-B82E-617754751B62};USD;19.00;1.00;20.00
JetBrains;JetBrainsAmericasUSD;27;{6A82DA46-9E7B-451A-AE0E-A5645AD5559E};Z000646320;mc;2019-03-18;UTC;Settled;{AAA7E11D-D572-4006-B571-594998260B78};USD;133.00;7.00;140.00
JetBrains;JetBrainsAmericasUSD;27;{43F14F0D-819F-44FF-B455-0CA447C56E8B};A000673328;mc;2019-03-30;UTC;Settled;{B1B5C025-EAFE-47DD-9C52-6D7598F5BF88};USD;266.00;14.00;280.00
JetBrains;JetBrainsAmericasUSD;27;{90541793-60E0-4340-92CB-1705BF665F3E};R000563483;visa;2019-04-04;UTC;Settled;{DE12B630-127E-4AE3-BA47-11E00B0C9982};USD;190.00;10.00;200.00
JetBrains;JetBrainsAmericasUSD;27;{0A034266-EC53-4AE4-ADDC-6CD740665D68};Z000306784;mc;2019-03-22;UTC;Settled;{05990C5C-2290-4DF6-8AEB-67B7A7206A21};USD;646.00;34.00;680.00
JetBrains;JetBrainsAmericasUSD;27;{B8257577-204B-48B1-A387-0112F90C68D4};R000503293;mc;2019-03-22;UTC;Settled;{F7EFA80A-D124-4FB6-AE75-EF6267867FE7};USD;285.00;15.00;300.00
JetBrains;JetBrainsAmericasUSD;27;{185AFCFE-EE4A-4763-B774-55951625931A};E000173619;mc;2019-03-31;UTC;Settled;{63AE7AAF-CBBF-41BE-9911-E3FB57E3E921};USD;162.00;8.00;170.00
JetBrains;JetBrainsAmericasUSD;27;{A00BC066-D421-42DD-859D-D9B25B3B18E0};C000314246;visa;2019-03-18;UTC;Settled;{B822801F-CCAB-4750-BC5E-CB5DDFC96C1A};USD;133.00;7.00;140.00
JetBrains;JetBrainsAmericasUSD;27;{F945F41E-4D73-469D-A48A-62CD5A981F9A};R000431909;mc;2019-03-20;UTC;Settled;{ACF20178-72F2-4256-BB22-ECB9CBDAFCED};USD;13.00;1.00;14.00
JetBrains;JetBrainsAmericasUSD;27;{C0BECF0F-6A71-4D11-BD11-C59D6B02EA53};A000030932;visa;2019-04-05;UTC;Settled;{92B33C45-887C-4959-8FC7-5B5AC11FBADD};USD;120.00;6.00;126.00
JetBrains;JetBrainsAmericasUSD;27;{6D7CBD98-2053-4DE7-9A11-BB3E611645E0};A000425103;mc;2019-04-05;UTC;Settled;{80698CDA-5CB8-41A5-9B3D-C6889DE00A18};USD;713.00;37.00;750.00
JetBrains;JetBrainsAmericasUSD;27;{BAC67AFE-2DA7-4A3F-AAC8-E0B3F933374A};Z000018479;mc;2019-03-31;UTC;Settled;{B490684B-1C2C-4D9F-B71A-F8CD9773FECD};USD;726.00;38.00;764.00
JetBrains;JetBrainsAmericasUSD;27;{BCAC4D84-4167-4506-AADD-3EF60933D4A0};Z000122205;visa;2019-03-28;UTC;Settled;{16CE4C2F-291E-4891-9A65-B3216955E4E1};USD;59.00;3.00;62.00
JetBrains;JetBrainsAmericasUSD;27;{8F3B3047-8538-4831-88ED-B11DB836231E};C000325642;mc;2019-03-22;UTC;Settled;{CBBB7FC6-F6E1-4C91-84D7-E4E2FE8DFED5};USD;314.00;16.00;330.00
JetBrains;JetBrainsAmericasUSD;27;{9A2CA01D-6E42-4D00-A90F-57326ADEE914};Z000508919;visa;2019-04-12;UTC;Settled;{1E5446F1-B442-43CE-A3F3-A434B55F1DF5};USD;243.00;13.00;256.00
JetBrains;JetBrainsAmericasUSD;27;{D044E3ED-8BE2-486B-90D0-F5AB928F3D72};C000486624;visa;2019-04-08;UTC;Settled;{F5AB536E-8914-441C-9C8E-C44BF4A6ED1A};USD;203.00;11.00;214.00
JetBrains;JetBrainsAmericasUSD;27;{DEF81600-BFDC-4CA6-A225-6F22EEE8F871};R000275509;mc;2019-04-01;UTC;Settled;{29EEA984-39B0-4F18-9BDF-ADC5675381F0};USD;439.00;23.00;462.00
JetBrains;JetBrainsAmericasUSD;27;{C3789DC3-AFA7-4571-96B6-946330AF4EA7};Z000153145;visa;2019-04-04;UTC;Settled;{FB56F233-6165-4351-95C5-3E74E0E944B3};USD;333.00;17.00;350.00
JetBrains;JetBrainsAmericasUSD;27;{7FC22C23-A11A-4C4C-AD79-1E118FE8A45F};Z000181926;mc;2019-04-10;UTC;Settled;{66681646-0AFD-4C77-91C9-FB028CAD8381};USD;865.00;45.00;910.00
JetBrains;JetBrainsAmericasUSD;27;{51E6B1C7-3F83-4254-9364-8F66EB9D395E};R000106622;visa;2019-04-02;UTC;Settled;{4AF3FDC1-CF33-4C01-A6E2-1FD417757D5B};USD;705.00;37.00;742.00
JetBrains;JetBrainsAmericasUSD;27;{DD4E22EB-ADC2-40CD-BE33-6D9E4E0A4216};A000196540;mc;2019-04-12;UTC;Settled;{96989AC1-E4CE-490A-8CD6-84FC274930C3};USD;124.00;6.00;130.00
JetBrains;JetBrainsAmericasUSD;27;{214F4C9F-0B5E-4C23-8608-10ABF3DF529D};C000279764;mc;2019-04-01;UTC;Settled;{48D78702-A2A7-4EB7-B5E7-3222E88CB36B};USD;95.00;5.00;100.00
JetBrains;JetBrainsAmericasUSD;27;{0A13A83C-22AB-4A8D-9FC3-C259EF24FA19};Z000443030;visa;2019-03-19;UTC;Settled;{86E70A0F-9438-434A-97F2-DCFAC611AB60};USD;467.00;25.00;492.00
JetBrains;JetBrainsAmericasUSD;27;{9E0EC54B-E56B-417B-89B7-C9113DC92AB0};A000295488;visa;2019-03-27;UTC;Settled;{462AAF38-B7E2-4D88-B0E1-CFDBB8FA009C};USD;238.00;12.00;250.00
JetBrains;JetBrainsAmericasUSD;27;{D098B650-06BA-4343-A744-7BCBBAE33727};R000152155;visa;2019-03-27;UTC;Settled;{77F76327-4E92-43D4-9DB0-0366EE5B3F9A};USD;114.00;6.00;120.00
JetBrains;JetBrainsAmericasUSD;27;{FB7F54D1-F194-46B2-88BC-A1A6B9D30A16};E000431374;visa;2019-04-12;UTC;Settled;{A958F37F-9FA3-462B-B730-89B373F04D0E};USD;451.00;24.00;475.00
JetBrains;JetBrainsAmericasUSD;27;{2BB6CD9B-0AE6-494E-8DA0-292084F7C8CB};E000546905;visa;2019-03-21;UTC;Settled;{15BAE60F-DF37-4684-B5EE-6E4339AC67AF};USD;238.00;12.00;250.00
JetBrains;JetBrainsAmericasUSD;27;{FA0D4D48-EAA0-4B3B-9DB1-D02041157D8D};R000434886;visa;2019-04-04;UTC;Settled;{1DC83A61-5B76-486A-BAAF-19E68934511E};USD;568.00;30.00;598.00
JetBrains;JetBrainsAmericasUSD;27;{142B3B0C-9BC5-4CA7-95AB-422C12A988BF};C000175872;mc;2019-04-15;UTC;Settled;{986C4E46-8B90-4CC0-AB2C-6DAF78960B58};USD;276.00;14.00;290.00
JetBrains;JetBrainsAmericasUSD;27;{8FB82D19-0737-4292-B98A-0468D49D061C};R000023189;visa;2019-03-18;UTC;Settled;{6DAA7B4A-2E37-45C7-AF47-927269A3C10E};USD;171.00;9.00;180.00
JetBrains;JetBrainsAmericasUSD;27;{CC9AAA83-318E-4469-888D-FFEC1467604D};C000374841;visa;2019-03-23;UTC;Settled;{C59DD97F-2CE9-4EE2-9074-64E14A177DC8};USD;323.00;17.00;340.00
JetBrains;JetBrainsAmericasUSD;27;{BFC6D92B-A0F5-4F48-A0CF-8812154DAB03};E000345830;visa;2019-04-01;UTC;Settled;{72310D22-0613-46DD-9716-39DA0FF67A9A};USD;504.00;26.00;530.00
JetBrains;JetBrainsAmericasUSD;27;{DA4276E7-995A-4052-9B2E-777F8300B7C3};R000221933;visa;2019-03-25;UTC;Settled;{EE1E588F-736F-4393-84C0-A2B3151A2653};USD;190.00;10.00;200.00
JetBrains;JetBrainsAmericasUSD;27;{0A5BAC32-665F-4EB4-AAF6-6FD613334B5E};E000624268;mc;2019-03-17;UTC;Settled;{FE620565-F33C-4816-893B-3A2F3C7CFA4C};USD;660.00;35.00;695.00
JetBrains;JetBrainsAmericasUSD;27;{062E3763-126C-4B3A-B9CE-C1732E6B17F5};Z000010905;visa;2019-04-08;UTC;Settled;{26CBFCD9-2A88-47C3-A3CE-1F36C0766E5B};USD;27.00;1.00;28.00
JetBrains;JetBrainsAmericasUSD;27;{4DC353F0-FC8D-4960-B020-0DCEF1DBEC92};C000112355;visa;2019-04-09;UTC;Settled;{C0433C38-30D2-4233-9B74-B362D79E0340};USD;314.00;16.00;330.00
JetBrains;JetBrainsAmericasUSD;27;{5B5076EE-EF10-4186-A809-0216B7979A8E};E000357470;visa;2019-03-29;UTC;Settled;{A7330037-663F-4EF6-B401-3EDFE48302A9};USD;133.00;7.00;140.00
JetBrains;JetBrainsAmericasUSD;27;{D79A19BE-4B1B-4A06-AA69-4A7C94F98119};E000674274;mc;2019-04-03;UTC;Settled;{202EEB18-BCA1-49DA-804C-B2FA80DA924D};USD;542.00;28.00;570.00
